hindi,pronunciation,english
नमस्ते,namaste,hello; goodbye
मैं,maī,I
हूँ,hū̃,am
क्या,kyā,question marker
आप,āp,you (formal)
जी,jī,respect marker
हैं,haī,are
जी हाँ,jī hā̃,yes
यह,yah,this
लड़का,laṛkā,boy
है,hai,is
हो,ho,are
शुक्रिया,śukriyā,thank you
अँग्रेज़,āgrez,English person
जी नहीं,jī nahī̃,no
नहीं,nahī̃,not
हिन्दुस्तानी,hindustānī,Indian
अच्छा,acchā,good; really?; Oh I see!
हाँ,hā̃,yes
वह,vah,it; that
गाड़ी,gāṛī,car
तुम,tum,you (familiar)
तू,tū,you (intimate)
ठीक,ṭhīk,all right; OK
जापानी,jāpānī,Japanese
मारुति,māruti,Maruti (make of car)
कमरा,kamrā,room
बहुत,bahut,very
बड़ा,baṛā,big
दूसरा,dūsrā,other; second
छोटा,choṭā,small
सिर्फ़,sirf,only
एक,ek,one; a
अलमारी,almārī,cupboard
ख़ाली,khālī,empty; vacant
ज़रूर,zarūr,of course; certainly
दोनों,donō,both
और,aur,and
यहाँ,yahā̃,here
मेज़,mez,table
दो,do,two
कुरसी,kursī,chair
पंखा,pankhā,fan
लेकिन,lekin,but
खिड़की,khiṛkī,window
काफ़ी,kāfī,quite
साफ़,sāf,clean
हवादार,havādār,airy
अमरीकन,amrīkan,American
आदमी,ādmī,man; person
आशा,āśā,hope
गुजराती,gujarātī,Gujarati
चाचा,cācā,paternal uncle
चिड़िया,ciṛiyā,small bird
जनवरी,janvarī,January
जर्मन,jarman,German
पंजाबी,panjābī,Panjabi
तीन,tīn,three
दादी,dādī,grandmother
पत्थर,patthar,stone
पलंग,palang,bed
पाकिस्तानी,pākistānī,Pakistani
पिता,pitā,father
पुराना,purānā,old (of things)
प्रति,prati,copy
बग़ीचा,bagīcā,garden
बच्चा,baccā,child
बहू,bahū,daughter-in-law
बूढ़ा,būṛhā,elderly
भारतीय,bhāratīy,Indian
भाषा,bhāṣā,language
मकान,makān,house
माता,mātā,mother
मानव,mānav,human being
मूर्ति,mūrti,statue; image
ये,ye,these; they; he/she (formal)
रविवार,ravivār,Sunday
राजा,rājā,king
रूसी,rūsī,Russian
लड़की,laṛkī,girl
लाल,lāl,red
लोग,log,people
वे,ve,those; they; he/she (formal)
सफ़ेद,safed,white
साइकिल,sāikil,bicycle
सुन्दर,sundar,beautiful
हम,ham,we
हिन्दू,hindū,Hindu
